"AP1","AP2","AP3","AP4","AP5","Coordenada X","Coordenada Y"
-45,-64,-59,-73,-51,1.47,19.44
-42,-69,-62,-78,-59,2.48,19.54
-56,-71,-61,-85,-61,3.44,19.54
-54,-72,-63,-77,-60,4.48,19.54
-58,-69,-64,-81,-63,5.44,19.54
-63,-70,-62,-76,-65,6.41,19.54
-61,-74,-58,-75,-59,7.41,19.63
-59,-66,-65,-80,-57,8.50,19.54
-59,-68,-60,-77,-55,9.42,19.63
-65,-69,-62,-80,-65,10.42,19.58
-61,-64,-67,-76,-61,11.46,19.54
-63,-60,-53,-75,-63,12.42,19.58
-66,-65,-54,-75,-64,13.51,19.44
-70,-64,-55,-80,-60,14.43,19.54
-69,-58,-56,-85,-63,15.48,19.58
-73,-65,-52,-80,-62,16.48,19.54
-68,-49,-52,-81,-57,17.40,19.58
-72,-43,-55,-76,-54,18.40,19.49
-69,-39,-57,-84,-59,19.45,19.54
-72,-44,-64,-85,-60,20.45,19.58
-70,-35,-56,-82,-63,20.41,18.53
-72,-43,-59,-83,-67,19.45,18.58
-72,-45,-55,-79,-65,18.44,18.58
-74,-47,-54,-73,-64,17.40,18.58
-71,-51,-52,-76,-63,16.48,18.58
-67,-50,-54,-72,-59,15.43,18.58
-69,-56,-63,-80,-66,14.47,18.48
-65,-59,-59,-79,-60,13.43,18.58
-67,-64,-66,-83,-65,12.38,18.58
-67,-64,-61,-76,-59,11.46,18.63
-65,-65,-63,-76,-66,10.46,18.58
-62,-64,-67,-79,-59,9.50,18.58
-54,-67,-59,-74,-52,8.54,18.58
-53,-67,-66,-81,-57,7.45,18.63
-61,-59,-56,-80,-57,6.45,18.53
-61,-72,-63,-75,-61,5.49,18.53
-50,-72,-58,-75,-58,4.52,18.58
-52,-71,-65,-81,-64,3.48,18.58
-49,-65,-66,-83,-64,2.48,18.53
-44,-65,-58,-75,-53,1.43,18.53
-38,-65,-68,-77,-55,1.43,17.48
-45,-68,-65,-75,-54,2.48,17.53
-53,-69,-67,-76,-62,3.40,17.62
-49,-60,-69,-73,-63,4.48,17.53
-51,-67,-68,-82,-60,5.44,17.53
-63,-63,-67,-78,-61,6.49,17.57
-64,-66,-58,-80,-55,7.49,17.62
-59,-70,-66,-75,-58,8.50,17.62
-71,-63,-68,-74,-59,9.46,17.53
-58,-65,-65,-76,-66,10.50,17.57
-61,-66,-65,-77,-63,11.46,17.57
-70,-60,-65,-75,-66,12.47,17.48
-66,-68,-66,-84,-65,13.47,17.57
-72,-55,-58,-75,-63,14.47,17.62
-71,-62,-64,-84,-61,15.43,17.57
-70,-63,-57,-83,-66,16.48,17.62
-72,-50,-59,-81,-68,17.40,17.62
-70,-48,-47,-81,-59,18.40,17.62
-68,-44,-57,-86,-68,19.45,17.62
-70,-45,-59,-80,-63,20.45,17.57
-69,-48,-73,-78,-67,20.36,16.71
-67,-44,-57,-81,-64,19.39,16.71
-64,-51,-55,-82,-66,18.41,16.71
-69,-47,-60,-79,-62,17.39,16.71
-73,-44,-55,-78,-66,16.41,16.71
-62,-59,-58,-76,-62,15.40,16.66
-72,-47,-64,-74,-71,14.42,16.57
-67,-56,-50,-73,-66,13.44,16.66
-57,-61,-56,-79,-55,12.38,16.71
-67,-58,-62,-71,-60,11.41,16.61
-66,-54,-55,-70,-53,10.39,16.61
-57,-50,-58,-76,-55,9.37,16.66
-59,-61,-56,-72,-59,8.48,16.61
-66,-63,-66,-74,-64,7.41,16.61
-55,-54,-66,-72,-59,6.40,16.57
-60,-61,-64,-80,-66,5.42,16.61
-53,-57,-64,-74,-59,4.44,16.71
-60,-72,-73,-83,-60,3.38,16.61
-46,-63,-64,-71,-57,2.45,16.61
-43,-60,-70,-80,-65,1.47,16.57
-38,-61,-65,-79,-55,1.39,15.45
-54,-63,-66,-74,-60,2.45,15.54
-58,-63,-70,-79,-64,3.47,15.59
-62,-63,-71,-75,-60,4.48,15.59
-53,-61,-68,-75,-57,5.42,15.59
-63,-60,-68,-82,-59,6.40,15.59
-55,-63,-66,-70,-59,7.46,15.54
-58,-62,-64,-71,-61,8.35,15.59
-65,-64,-63,-76,-51,9.37,15.59
-63,-64,-64,-79,-55,10.43,15.59
-63,-52,-60,-69,-57,11.49,15.59
-64,-60,-57,-77,-61,12.42,15.59
-61,-55,-52,-69,-63,13.44,15.54
-66,-57,-57,-83,-67,14.38,15.54
-64,-55,-61,-79,-61,15.40,15.54
-64,-50,-52,-78,-66,16.37,15.68
-68,-48,-53,-83,-66,17.35,15.63
-70,-49,-58,-80,-63,18.37,15.54
-67,-49,-63,-74,-67,19.39,15.73
-72,-50,-54,-75,-71,20.36,15.63
-74,-51,-58,-84,-73,20.41,14.56
-76,-50,-54,-74,-69,19.43,14.56
-72,-51,-56,-75,-66,18.37,14.61
-71,-51,-61,-74,-73,17.39,14.61
-66,-54,-51,-80,-65,16.37,14.65
-67,-54,-53,-72,-60,15.40,14.65
-71,-54,-55,-75,-64,14.38,14.61
-63,-59,-49,-73,-67,13.44,14.65
-60,-61,-60,-77,-63,12.38,14.70
-63,-63,-63,-73,-55,11.41,14.56
-64,-58,-57,-75,-60,10.43,14.51
-70,-52,-66,-70,-67,9.37,14.61
-52,-59,-65,-70,-52,8.43,14.61
-57,-52,-65,-69,-54,7.50,14.51
-60,-62,-70,-78,-55,6.35,14.61
-57,-60,-67,-70,-52,5.46,14.61
-55,-58,-66,-72,-59,4.44,14.61
-52,-58,-66,-74,-64,3.42,14.61
-57,-67,-75,-84,-60,2.45,14.51
-47,-59,-69,-79,-59,1.39,14.51
-54,-65,-72,-80,-61,1.39,13.58
-47,-57,-67,-82,-58,2.40,13.58
-58,-62,-67,-75,-58,3.42,13.58
-59,-67,-69,-76,-59,4.44,13.63
-56,-59,-67,-75,-54,5.42,13.63
-58,-60,-68,-68,-59,6.40,13.58
-59,-62,-64,-71,-67,7.41,13.63
-59,-56,-65,-73,-59,8.43,13.58
-63,-59,-68,-72,-56,9.41,13.63
-63,-58,-63,-72,-60,10.39,13.63
-66,-63,-61,-79,-66,11.41,13.63
-71,-65,-63,-74,-69,12.42,13.67
-68,-61,-53,-72,-66,13.44,13.67
-63,-63,-54,-74,-62,14.42,13.63
-71,-60,-51,-77,-65,15.40,13.63
-70,-55,-50,-79,-69,16.46,13.63
-75,-55,-57,-81,-71,17.39,13.58
-74,-59,-54,-84,-69,18.33,13.63
-70,-54,-56,-79,-66,19.47,13.63
-74,-57,-63,-80,-67,20.36,13.58
-76,-59,-65,-76,-72,20.41,12.64
-75,-63,-59,-83,-74,19.43,12.55
-75,-54,-55,-80,-75,18.41,12.60
-71,-59,-51,-78,-71,17.39,12.60
-77,-61,-52,-79,-69,16.50,12.55
-74,-56,-47,-77,-66,15.35,12.55
-70,-63,-55,-78,-74,14.38,12.60
-77,-62,-54,-72,-69,13.44,12.55
-65,-56,-65,-73,-68,12.38,12.50
-66,-65,-60,-73,-65,11.45,12.55
-64,-69,-60,-71,-64,10.39,12.50
-64,-60,-58,-71,-63,9.41,12.60
-54,-61,-66,-73,-55,8.43,12.60
-56,-57,-59,-66,-52,7.37,12.64
-63,-62,-72,-75,-57,6.44,12.64
-59,-61,-70,-75,-59,5.42,12.69
-55,-65,-75,-78,-63,4.44,12.69
-54,-59,-73,-79,-60,3.47,12.60
-47,-59,-73,-77,-64,2.40,12.60
-52,-58,-70,-76,-67,1.43,12.55
-57,-57,-67,-66,-54,6.52,11.43
-52,-54,-66,-61,-54,7.41,11.57
-67,-60,-69,-69,-56,8.39,11.48
-69,-69,-73,-70,-61,9.37,11.57
-67,-64,-60,-66,-65,10.39,11.62
-64,-55,-58,-68,-63,11.36,11.48
-60,-51,-51,-69,-64,12.30,11.52
-63,-56,-53,-66,-66,13.40,11.57
-70,-58,-47,-73,-72,14.46,11.52
-65,-56,-50,-76,-73,15.44,11.48
-74,-51,-48,-75,-73,16.41,11.43
-73,-52,-45,-71,-64,17.43,11.52
-79,-65,-54,-85,-69,18.41,11.52
-76,-51,-52,-77,-67,19.39,11.43
-69,-49,-59,-77,-68,20.45,11.52
-76,-56,-56,-77,-68,20.36,10.45
-77,-53,-57,-80,-66,19.43,10.40
-74,-55,-53,-79,-72,18.45,10.50
-73,-57,-41,-75,-69,17.35,10.50
-77,-60,-44,-74,-69,16.41,10.50
-73,-55,-49,-71,-68,15.40,10.45
-72,-62,-50,-67,-68,14.38,10.50
-69,-61,-65,-69,-70,13.36,10.45
-69,-53,-55,-71,-60,12.34,10.54
-70,-60,-63,-68,-62,11.36,10.50
-68,-61,-70,-75,-64,10.47,10.59
-70,-64,-66,-63,-62,9.37,10.54
-63,-68,-67,-64,-58,8.43,10.50
-67,-59,-70,-63,-58,7.37,10.50
-66,-64,-72,-69,-69,6.48,10.50
-79,-63,-41,-64,-73,14.45,9.40
-78,-66,-39,-70,-73,15.38,9.45
-74,-58,-33,-63,-69,16.32,9.54
-78,-67,-34,-69,-66,17.34,9.54
-76,-65,-43,-55,-70,14.45,8.52
-72,-64,-40,-58,-76,15.42,8.56
-77,-65,-34,-65,-68,16.44,8.38
-77,-63,-39,-71,-70,17.34,8.42
-80,-65,-43,-56,-69,14.45,7.44
-78,-64,-45,-63,-70,15.38,7.49
-84,-75,-45,-69,-73,16.40,7.44
-75,-68,-42,-72,-81,17.34,7.49
-77,-66,-45,-67,-76,14.49,6.51
-79,-66,-47,-62,-77,15.38,6.56
-82,-75,-50,-63,-74,16.40,6.56
-81,-67,-39,-72,-80,17.38,6.60
-78,-63,-48,-63,-75,14.36,5.58
-80,-68,-46,-64,-80,15.42,5.58
-76,-66,-46,-70,-77,16.40,5.62
-77,-60,-41,-67,-72,17.38,5.58
-85,-70,-55,-62,-78,14.40,4.55
-80,-66,-45,-65,-79,15.42,4.51
-85,-73,-48,-62,-78,16.40,4.46
-83,-73,-51,-69,-81,17.34,4.55
-86,-69,-54,-60,-80,14.45,3.57
-83,-71,-51,-63,-81,15.47,3.53
-82,-71,-46,-64,-82,16.44,3.57
-88,-75,-44,-64,-81,17.34,3.67
-85,-69,-56,-55,-77,14.36,2.64
-82,-72,-46,-63,-81,15.42,2.59
-79,-74,-46,-67,-79,16.40,2.55
-86,-78,-52,-71,-79,17.34,2.64
-88,-69,-53,-62,-84,14.36,1.62
-86,-74,-49,-74,-84,15.38,1.62
-90,-76,-53,-66,-82,16.32,1.66
-88,-76,-51,-59,-82,17.38,1.76
-79,-71,-68,-69,-64,10.45,9.45
-75,-72,-49,-55,-62,11.43,9.40
-82,-75,-55,-60,-64,12.40,9.45
-73,-68,-50,-57,-69,13.34,9.49
-78,-73,-58,-61,-68,10.49,8.47
-78,-71,-55,-54,-64,11.38,8.47
-80,-68,-56,-58,-71,12.40,8.56
-78,-75,-56,-63,-67,13.38,8.56
-74,-73,-63,-55,-65,10.49,7.49
-70,-67,-51,-56,-62,11.38,7.49
-73,-75,-47,-58,-60,12.36,7.49
-77,-65,-50,-59,-67,13.38,7.58
-82,-80,-64,-55,-67,10.45,6.60
-74,-72,-57,-58,-67,11.43,6.56
-70,-71,-49,-52,-60,12.36,6.56
-78,-72,-51,-52,-70,13.38,6.56
-81,-78,-62,-46,-69,10.41,5.58
-74,-70,-54,-57,-61,11.43,5.58
-77,-77,-58,-46,-70,12.36,5.62
-80,-71,-55,-55,-62,13.34,5.67
-83,-68,-55,-48,-70,10.36,4.60
-77,-68,-51,-46,-72,11.38,4.60
-72,-75,-56,-48,-67,12.40,4.60
-77,-80,-65,-58,-70,13.42,4.65
-77,-72,-56,-38,-68,10.41,3.62
-84,-78,-66,-50,-72,11.38,3.57
-78,-81,-63,-57,-75,12.40,3.62
-78,-74,-59,-58,-74,13.34,3.67
-81,-77,-63,-53,-71,10.41,2.55
-83,-74,-63,-56,-71,11.43,2.59
-80,-76,-60,-59,-79,12.40,2.64
-84,-79,-63,-60,-68,13.38,2.59
-80,-72,-63,-51,-72,10.45,1.57
-75,-64,-59,-48,-69,11.43,1.57
-75,-75,-56,-56,-77,12.40,1.66
-74,-76,-58,-52,-66,13.38,1.62
